season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2025,Argentina Prim B Nacional,2025-02-06,21:10:00,complete,Colón,Temperley,1.76,3.08,5.6,3.09,1.32,2.75,1.39,0,0
2025,Argentina Prim B Nacional,2025-02-07,17:00:00,complete,Arsenal de Sarandí,All Boys,2.7,2.63,3.13,3.27,1.29,2.55,1.44,0,0
2025,Argentina Prim B Nacional,2025-02-07,19:00:00,complete,Nueva Chicago,San Telmo,1.91,3.0,4.7,3.04,1.33,2.5,1.46,0,2
2025,Argentina Prim B Nacional,2025-02-07,21:30:00,complete,Chaco For Ever,Estudiantes Caseros,2.88,2.7,2.83,3.21,1.3,2.46,1.52,0,1
2025,Argentina Prim B Nacional,2025-02-08,17:00:00,complete,Los Andes,Patronato,2.72,2.83,2.87,2.94,1.35,2.38,1.53,1,3
2025,Argentina Prim B Nacional,2025-02-08,17:00:00,complete,Almagro,San Martín Tucumán,4.2,2.89,2.06,3.09,1.32,2.63,1.44,0,0
2025,Argentina Prim B Nacional,2025-02-08,17:00:00,complete,San Miguel,Tristán Suárez,2.35,2.69,3.67,3.04,1.33,2.75,1.4,2,1
2025,Argentina Prim B Nacional,2025-02-08,17:00:00,complete,Quilmes,Gimnasia y Tiro,2.01,2.86,4.5,3.09,1.32,2.65,1.45,1,1
2025,Argentina Prim B Nacional,2025-02-08,17:00:00,complete,Colegiales,Alvarado,2.86,2.63,2.93,3.15,1.31,2.5,1.5,0,0
2025,Argentina Prim B Nacional,2025-02-08,20:30:00,complete,Gimnasia Mendoza,Estudiantes Río Cuarto,2.12,2.77,4.2,3.21,1.3,2.5,1.5,1,1
2025,Argentina Prim B Nacional,2025-02-09,17:00:00,complete,Central Norte,Talleres Remedios,2.3,2.9,3.2,3.15,1.31,2.63,1.44,1,0
2025,Argentina Prim B Nacional,2025-02-09,17:00:00,complete,Gimnasia Jujuy,Defensores de Belgrano,1.93,2.85,5.0,3.21,1.3,2.7,1.44,0,0
2025,Argentina Prim B Nacional,2025-02-09,19:00:00,complete,Racing Córdoba,Deportivo Maipú,1.71,3.35,5.4,2.65,1.42,2.5,1.5,0,1
2025,Argentina Prim B Nacional,2025-02-09,19:15:00,complete,Almirante Brown,Deportivo Morón,2.11,2.94,3.91,3.04,1.33,2.63,1.44,1,1
2025,Argentina Prim B Nacional,2025-02-09,20:00:00,complete,Club Atlético Mitre,Defensores Unidos,1.55,3.53,7.1,2.69,1.41,2.7,1.44,0,1
2025,Argentina Prim B Nacional,2025-02-09,21:30:00,complete,Ferro Carril Oeste,Club Atlético Güemes,1.93,2.97,4.7,2.89,1.36,2.44,1.53,0,0
2025,Argentina Prim B Nacional,2025-02-10,19:00:00,complete,Atlanta,Deportivo Madryn,2.37,3.03,3.14,2.5,1.47,2.1,1.67,1,0
2025,Argentina Prim B Nacional,2025-02-10,21:30:00,complete,Agropecuario,Chacarita Juniors,1.9,3.16,4.4,2.4,1.48,2.25,1.57,0,1
2025,Argentina Prim B Nacional,2025-02-14,21:00:00,complete,Tristán Suárez,Almagro,1.91,2.77,5.4,2.9,1.36,2.5,1.47,2,1
2025,Argentina Prim B Nacional,2025-02-14,21:30:00,complete,Club Atlético Güemes,Patronato,2.12,2.93,3.62,2.74,1.35,2.3,1.52,1,1
2025,Argentina Prim B Nacional,2025-02-15,17:00:00,complete,Talleres Remedios,Gimnasia Mendoza,3.39,2.79,2.4,3.04,1.33,2.5,1.5,0,1
2025,Argentina Prim B Nacional,2025-02-15,17:00:00,complete,Defensores Unidos,Chaco For Ever,2.85,2.29,3.55,3.56,1.25,2.7,1.41,0,2
2025,Argentina Prim B Nacional,2025-02-15,19:00:00,complete,Deportivo Madryn,Racing Córdoba,1.93,2.81,5.1,3.09,1.32,2.63,1.44,1,2
2025,Argentina Prim B Nacional,2025-02-15,19:05:00,complete,Estudiantes Caseros,Almirante Brown,1.88,2.76,5.7,3.04,1.33,2.63,1.44,5,2
2025,Argentina Prim B Nacional,2025-02-15,21:00:00,complete,All Boys,Colegiales,2.16,2.61,4.5,3.41,1.27,2.5,1.5,0,0
2025,Argentina Prim B Nacional,2025-02-16,17:00:00,complete,Deportivo Morón,Central Norte,2.15,2.54,4.7,3.09,1.32,2.63,1.44,2,0
2025,Argentina Prim B Nacional,2025-02-16,17:00:00,complete,Gimnasia y Tiro,San Miguel,2.41,2.47,3.99,2.37,1.48,2.5,1.5,1,0
2025,Argentina Prim B Nacional,2025-02-16,17:00:00,complete,Chacarita Juniors,San Telmo,2.35,2.64,3.75,2.89,1.36,2.5,1.5,1,1
2025,Argentina Prim B Nacional,2025-02-16,17:00:00,complete,Arsenal de Sarandí,Los Andes,2.16,2.55,4.7,3.09,1.32,2.63,1.44,1,1
2025,Argentina Prim B Nacional,2025-02-16,17:00:00,complete,Temperley,Club Atlético Mitre,2.37,2.35,4.5,3.48,1.26,2.75,1.39,2,0
2025,Argentina Prim B Nacional,2025-02-16,17:30:00,complete,Alvarado,Atlanta,2.39,2.54,3.87,2.85,1.37,2.38,1.53,0,0
2025,Argentina Prim B Nacional,2025-02-16,18:00:00,complete,Deportivo Maipú,Quilmes,2.66,2.51,3.38,2.85,1.37,2.25,1.54,2,0
2025,Argentina Prim B Nacional,2025-02-16,18:00:00,complete,Estudiantes Río Cuarto,Gimnasia Jujuy,2.17,2.46,5.0,3.48,1.26,2.79,1.36,1,1
2025,Argentina Prim B Nacional,2025-02-17,17:00:00,complete,Defensores de Belgrano,Agropecuario,2.2,2.6,4.3,2.81,1.38,2.25,1.57,1,1
2025,Argentina Prim B Nacional,2025-02-17,20:00:00,complete,Colón,Nueva Chicago,1.85,2.89,5.5,3.09,1.32,2.75,1.4,2,1
2025,Argentina Prim B Nacional,2025-02-17,22:00:00,complete,San Martín Tucumán,Ferro Carril Oeste,1.88,2.85,5.3,2.9,1.36,2.38,1.53,1,0
