season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2024,Brazil Serie A,2024-04-13,18:30:00,complete,Internacional,Bahia,1.75,3.45,4.5,1.95,1.75,1.95,1.8,2,1
2024,Brazil Serie A,2024-04-13,18:30:00,complete,Criciúma,Juventude,2.1,3.05,3.5,2.3,1.55,2.05,1.7,1,1
2024,Brazil Serie A,2024-04-13,21:00:00,complete,Fluminense,Bragantino,1.95,3.3,4.2,2.15,1.67,1.95,1.8,2,2
2024,Brazil Serie A,2024-04-13,21:00:00,complete,São Paulo,Fortaleza,1.95,3.3,4.0,2.35,1.57,2.05,1.7,1,2
2024,Brazil Serie A,2024-04-14,16:00:00,complete,Atlético PR,Cuiabá,1.53,3.75,6.0,2.12,1.64,2.2,1.62,4,0
2024,Brazil Serie A,2024-04-14,16:00:00,complete,Atlético GO,Flamengo,4.2,3.5,1.8,1.96,1.89,1.95,1.8,1,2
2024,Brazil Serie A,2024-04-14,16:00:00,complete,Vasco da Gama,Grêmio,2.15,3.3,3.2,2.0,1.73,1.91,1.91,2,1
2024,Brazil Serie A,2024-04-14,16:00:00,complete,Corinthians,Atlético Mineiro,2.6,3.0,2.75,2.2,1.6,2.1,1.67,0,0
2024,Brazil Serie A,2024-04-14,17:00:00,complete,Cruzeiro,Botafogo,2.15,3.1,3.4,2.45,1.48,2.05,1.7,3,2
2024,Brazil Serie A,2024-04-14,18:30:00,complete,Vitória,Palmeiras,5.0,3.8,1.62,1.83,2.03,1.95,1.8,0,1
2024,Brazil Serie A,2024-04-16,21:30:00,complete,Bahia,Fluminense,2.15,3.4,3.5,1.9,1.9,1.7,2.05,2,1
2024,Brazil Serie A,2024-04-17,19:00:00,complete,Grêmio,Atlético PR,2.6,3.25,2.75,2.1,1.7,1.91,1.91,2,0
2024,Brazil Serie A,2024-04-17,19:00:00,complete,Bragantino,Vasco da Gama,1.91,3.5,4.2,2.0,1.8,1.8,1.95,2,1
2024,Brazil Serie A,2024-04-17,20:00:00,complete,Palmeiras,Internacional,1.65,3.6,6.0,2.2,1.65,2.1,1.67,0,1
2024,Brazil Serie A,2024-04-17,20:00:00,complete,Atlético Mineiro,Criciúma,1.5,4.0,7.0,2.05,1.75,2.2,1.62,1,1
2024,Brazil Serie A,2024-04-17,20:00:00,complete,Juventude,Corinthians,3.5,3.0,2.3,2.88,1.4,2.25,1.57,2,0
2024,Brazil Serie A,2024-04-17,20:00:00,complete,Fortaleza,Cruzeiro,1.95,3.4,4.0,2.25,1.62,2.05,1.7,1,1
2024,Brazil Serie A,2024-04-17,21:30:00,complete,Flamengo,São Paulo,1.62,3.6,6.0,2.15,1.67,2.05,1.7,2,1
2024,Brazil Serie A,2024-04-18,21:30:00,complete,Botafogo,Atlético GO,1.73,3.5,5.0,2.08,1.73,1.95,1.8,1,0
2024,Brazil Serie A,2024-04-20,16:00:00,complete,Fluminense,Vasco da Gama,1.94,3.47,4.11,1.95,1.76,1.91,1.91,2,1
2024,Brazil Serie A,2024-04-20,18:30:00,complete,Grêmio,Cuiabá,1.72,3.67,5.1,2.05,1.7,2.2,1.62,1,0
2024,Brazil Serie A,2024-04-20,18:30:00,complete,Bragantino,Corinthians,1.8,3.48,4.9,2.3,1.55,1.95,1.8,1,0
2024,Brazil Serie A,2024-04-20,21:00:00,complete,Atlético Mineiro,Cruzeiro,1.91,3.5,4.0,2.35,1.57,2.2,1.62,3,0
2024,Brazil Serie A,2024-04-21,16:00:00,complete,Palmeiras,Flamengo,2.2,3.13,3.0,2.05,1.7,2.0,1.75,0,0
2024,Brazil Serie A,2024-04-21,16:00:00,complete,Vitória,Bahia,2.6,3.2,2.8,2.15,1.57,1.8,1.95,2,2
2024,Brazil Serie A,2024-04-21,16:00:00,complete,Atlético PR,Internacional,1.83,3.6,4.0,2.0,1.67,2.0,1.75,1,0
2024,Brazil Serie A,2024-04-21,18:30:00,complete,Atlético GO,São Paulo,2.8,2.9,2.45,2.38,1.53,2.05,1.7,0,3
2024,Brazil Serie A,2024-04-21,18:30:00,complete,Botafogo,Juventude,1.73,3.6,4.75,2.0,1.65,2.1,1.67,5,1
2024,Brazil Serie A,2024-04-27,16:00:00,complete,Vasco da Gama,Criciúma,1.61,3.5,4.6,2.05,1.7,2.2,1.62,0,4
2024,Brazil Serie A,2024-04-27,18:30:00,complete,Cuiabá,Atlético Mineiro,3.25,3.0,2.1,2.37,1.53,2.25,1.57,0,3
2024,Brazil Serie A,2024-04-27,21:00:00,complete,Bahia,Grêmio,1.91,3.6,4.0,1.95,1.85,1.8,1.95,1,0
2024,Brazil Serie A,2024-04-28,11:00:00,complete,Flamengo,Botafogo,1.6,3.61,5.0,2.03,1.85,1.95,1.8,0,2
2024,Brazil Serie A,2024-04-28,16:00:00,complete,Cruzeiro,Vitória,1.53,3.6,5.5,2.1,1.65,2.2,1.62,3,1
2024,Brazil Serie A,2024-04-28,16:00:00,complete,Corinthians,Fluminense,2.3,2.9,2.9,2.3,1.55,1.95,1.8,3,0
2024,Brazil Serie A,2024-04-28,18:30:00,complete,Juventude,Atlético PR,2.8,2.87,2.4,2.3,1.53,1.95,1.8,1,1
2024,Brazil Serie A,2024-04-28,18:30:00,complete,Fortaleza,Bragantino,2.1,3.0,3.25,2.2,1.6,1.91,1.91,1,1
2024,Brazil Serie A,2024-04-28,20:00:00,complete,Internacional,Atlético GO,1.57,3.8,6.5,2.1,1.7,2.1,1.67,1,1
2024,Brazil Serie A,2024-04-29,20:00:00,complete,São Paulo,Palmeiras,2.45,2.9,3.25,2.6,1.48,2.2,1.62,0,0
2024,Brazil Serie A,2024-05-04,16:00:00,complete,Fluminense,Atlético Mineiro,1.86,3.35,3.85,2.2,1.55,1.95,1.8,2,2
2024,Brazil Serie A,2024-05-04,18:30:00,complete,Bragantino,Flamengo,2.96,3.2,2.25,2.15,1.58,1.91,1.91,1,1
2024,Brazil Serie A,2024-05-04,21:00:00,complete,Corinthians,Fortaleza,2.25,3.2,3.5,2.6,1.48,2.2,1.62,0,0
2024,Brazil Serie A,2024-05-05,16:00:00,complete,Atlético PR,Vasco da Gama,1.67,3.6,5.0,2.04,1.73,2.05,1.7,1,0
2024,Brazil Serie A,2024-05-05,16:00:00,complete,Vitória,São Paulo,3.7,2.9,2.18,2.27,1.59,2.05,1.7,1,3
2024,Brazil Serie A,2024-05-05,18:30:00,complete,Cuiabá,Palmeiras,3.96,3.35,1.91,2.26,1.54,2.25,1.57,0,2
2024,Brazil Serie A,2024-05-05,18:30:00,complete,Botafogo,Bahia,1.81,3.45,4.3,2.05,1.67,1.75,2.0,1,2
2024,Brazil Serie A,2024-05-11,16:00:00,complete,Flamengo,Corinthians,1.6,3.8,6.25,2.15,1.7,2.05,1.7,2,0
2024,Brazil Serie A,2024-05-12,16:00:00,complete,Palmeiras,Atlético PR,1.62,3.4,5.0,2.1,1.67,2.05,1.7,0,2
2024,Brazil Serie A,2024-05-12,16:00:00,complete,Fortaleza,Botafogo,1.8,3.25,4.0,2.1,1.67,1.95,1.8,1,1
2024,Brazil Serie A,2024-05-12,16:00:00,complete,Atlético GO,Cruzeiro,2.55,3.0,2.63,2.38,1.53,2.0,1.75,0,1
2024,Brazil Serie A,2024-05-12,18:30:00,complete,Vasco da Gama,Vitória,1.73,3.6,5.0,2.05,1.75,1.95,1.8,2,1
2024,Brazil Serie A,2024-05-12,18:30:00,complete,Bahia,Bragantino,1.75,3.8,4.33,1.85,1.95,1.8,1.95,1,0
2024,Brazil Serie A,2024-05-13,20:00:00,complete,São Paulo,Fluminense,1.7,3.6,5.25,2.1,1.7,2.05,1.7,2,1
2024,Brazil Serie A,2024-06-01,16:00:00,complete,Grêmio,Bragantino,2.95,3.12,2.53,1.91,1.8,1.8,1.95,0,2
2024,Brazil Serie A,2024-06-01,16:00:00,complete,Vitória,Atlético GO,2.16,3.12,3.68,2.07,1.68,1.95,1.8,0,2
2024,Brazil Serie A,2024-06-01,18:30:00,complete,Cuiabá,Internacional,3.5,3.1,2.3,2.88,1.4,2.25,1.57,0,1
2024,Brazil Serie A,2024-06-01,18:30:00,complete,Fluminense,Juventude,1.57,4.2,5.5,1.85,1.95,2.0,1.75,1,1
