season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2024,Brazil Serie B,2024-04-19,19:00:00,complete,Botafogo SP,América Mineiro,3.5,3.0,2.3,2.5,1.5,2.1,1.67,1,1
2024,Brazil Serie B,2024-04-19,19:00:00,complete,Novorizontino,CRB,1.91,3.1,5.0,2.6,1.48,2.25,1.57,2,1
2024,Brazil Serie B,2024-04-19,21:00:00,complete,Operário PR,Avaí,2.4,3.1,3.2,2.5,1.5,2.1,1.67,1,0
2024,Brazil Serie B,2024-04-20,15:30:00,complete,Chapecoense,Ituano,2.04,3.07,3.96,2.4,1.5,2.2,1.62,3,1
2024,Brazil Serie B,2024-04-20,16:30:00,complete,Santos,Paysandu,1.4,4.5,8.5,1.95,1.85,2.25,1.57,2,0
2024,Brazil Serie B,2024-04-20,17:00:00,complete,Amazonas,Sport Recife,3.5,3.0,2.25,2.5,1.5,2.1,1.67,2,3
2024,Brazil Serie B,2024-04-20,18:00:00,complete,Ceará,Goiás,2.3,3.1,3.2,2.5,1.5,2.1,1.67,1,1
2024,Brazil Serie B,2024-04-21,18:00:00,complete,Ponte Preta,Coritiba,3.0,2.9,2.3,2.5,1.47,2.1,1.67,1,1
2024,Brazil Serie B,2024-04-22,21:00:00,complete,Vila Nova,Guarani,2.05,3.0,4.0,2.6,1.48,2.2,1.62,2,0
2024,Brazil Serie B,2024-04-23,21:00:00,complete,Brusque,Mirassol,2.75,3.1,2.75,2.5,1.5,2.0,1.73,3,1
2024,Brazil Serie B,2024-04-26,19:00:00,complete,Sport Recife,Vila Nova,1.62,3.6,6.5,2.25,1.62,2.2,1.62,2,0
2024,Brazil Serie B,2024-04-26,19:00:00,complete,Ituano,Operário PR,2.75,3.1,2.75,2.6,1.48,2.1,1.67,0,2
2024,Brazil Serie B,2024-04-26,20:00:00,complete,Avaí,Santos,4.2,3.2,2.0,2.35,1.57,2.1,1.67,0,2
2024,Brazil Serie B,2024-04-26,21:00:00,complete,Guarani,Chapecoense,2.15,3.1,3.75,2.5,1.5,2.1,1.67,0,1
2024,Brazil Serie B,2024-04-27,17:00:00,complete,CRB,Amazonas,1.5,3.4,6.5,2.25,1.57,2.25,1.57,0,0
2024,Brazil Serie B,2024-04-27,17:00:00,complete,Paysandu,Botafogo SP,1.91,3.1,3.6,2.3,1.55,2.2,1.62,1,1
2024,Brazil Serie B,2024-04-27,18:00:00,complete,América Mineiro,Novorizontino,2.0,3.1,3.4,2.45,1.5,2.1,1.67,2,0
2024,Brazil Serie B,2024-04-28,16:00:00,complete,Coritiba,Brusque,1.6,3.6,4.8,2.05,1.67,2.38,1.53,1,0
2024,Brazil Serie B,2024-04-28,18:30:00,complete,Goiás,Ponte Preta,1.75,3.2,4.2,2.37,1.53,2.38,1.53,3,0
2024,Brazil Serie B,2024-04-29,19:30:00,complete,Mirassol,Ceará,2.0,3.4,3.75,2.35,1.57,2.1,1.67,3,2
2024,Brazil Serie B,2024-05-03,19:00:00,complete,Paysandu,Avaí,2.05,3.1,4.2,2.6,1.48,2.25,1.57,0,0
2024,Brazil Serie B,2024-05-03,21:30:00,complete,Coritiba,Sport Recife,2.38,3.0,3.3,2.4,1.53,2.0,1.73,0,1
2024,Brazil Serie B,2024-05-04,17:00:00,complete,Chapecoense,América Mineiro,2.59,2.98,2.64,2.26,1.52,2.0,1.73,2,2
2024,Brazil Serie B,2024-05-04,18:00:00,complete,Vila Nova,Operário PR,1.88,3.25,3.85,2.46,1.44,2.38,1.53,1,0
2024,Brazil Serie B,2024-05-04,21:00:00,complete,Ituano,Novorizontino,3.3,3.1,2.38,2.4,1.53,2.0,1.73,1,3
2024,Brazil Serie B,2024-05-05,16:00:00,complete,Brusque,Goiás,3.1,2.8,2.39,2.31,1.5,2.1,1.67,0,2
2024,Brazil Serie B,2024-05-06,19:00:00,complete,Ceará,CRB,2.05,3.0,4.2,2.6,1.48,2.2,1.62,2,2
2024,Brazil Serie B,2024-05-06,20:00:00,complete,Ponte Preta,Amazonas,2.0,3.1,4.2,2.7,1.44,2.38,1.53,3,0
2024,Brazil Serie B,2024-05-06,21:00:00,complete,Santos,Guarani,1.5,3.8,7.0,2.15,1.67,2.25,1.57,4,1
2024,Brazil Serie B,2024-05-07,21:00:00,complete,Botafogo SP,Mirassol,2.8,3.1,2.63,2.6,1.48,2.1,1.67,0,0
2024,Brazil Serie B,2024-05-08,21:00:00,complete,América Mineiro,Vila Nova,1.7,3.6,5.25,2.3,1.6,2.2,1.62,3,1
2024,Brazil Serie B,2024-05-10,19:00:00,complete,Novorizontino,Ceará,1.85,3.4,4.5,2.2,1.65,2.0,1.73,0,3
2024,Brazil Serie B,2024-05-10,21:30:00,complete,Goiás,Ituano,1.4,4.2,9.5,2.08,1.73,2.38,1.53,2,0
2024,Brazil Serie B,2024-05-10,21:30:00,complete,CRB,Chapecoense,1.83,3.25,4.75,2.35,1.57,2.1,1.67,2,0
2024,Brazil Serie B,2024-05-11,17:00:00,complete,Guarani,Botafogo SP,1.9,3.05,4.3,2.44,1.49,2.38,1.53,2,0
2024,Brazil Serie B,2024-05-11,17:00:00,complete,Operário PR,Ponte Preta,1.9,3.25,3.95,2.62,1.43,2.5,1.5,1,1
2024,Brazil Serie B,2024-05-11,17:00:00,complete,Amazonas,Santos,4.75,3.3,1.74,2.18,1.62,2.25,1.57,1,0
2024,Brazil Serie B,2024-05-11,17:00:00,complete,Sport Recife,Brusque,1.5,3.85,6.1,2.02,1.73,2.38,1.53,4,1
