season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2023/2024,Bulgaria First League,2023-07-14,12:45:00,complete,OFK Pirin,Beroe,2.3,2.9,3.0,2.2,1.53,1.91,1.8,1,2
2023/2024,Bulgaria First League,2023-07-14,15:00:00,complete,Levski Krumovgrad,Ludogorets,10.4,5.0,1.2,1.6,1.98,2.25,1.57,3,1
2023/2024,Bulgaria First League,2023-07-15,12:45:00,complete,Levski Sofia,CSKA 1948 Sofia,2.34,3.14,3.25,2.45,1.5,2.1,1.67,1,2
2023/2024,Bulgaria First League,2023-07-15,15:00:00,complete,Arda,Cherno More,2.6,2.88,2.63,2.27,1.56,2.0,1.73,3,3
2023/2024,Bulgaria First League,2023-07-16,12:30:00,complete,Lokomotiv Plovdiv,Botev Plovdiv,2.42,3.1,2.61,2.25,1.53,1.91,1.8,1,1
2023/2024,Bulgaria First League,2023-07-16,15:00:00,complete,Hebar 1918,CSKA Sofia,11.0,5.5,1.18,1.85,1.85,2.5,1.5,0,0
2023/2024,Bulgaria First League,2023-07-17,12:30:00,complete,Lokomotiv Sofia 1929,Botev Vratsa,1.93,3.05,3.55,2.07,1.55,1.83,1.83,1,0
2023/2024,Bulgaria First League,2023-07-17,14:45:00,complete,Etar,Slavia Sofia,3.82,3.3,2.03,2.25,1.53,2.0,1.73,0,1
2023/2024,Bulgaria First League,2023-07-21,13:00:00,complete,CSKA 1948 Sofia,OFK Pirin,1.21,6.25,14.0,1.64,2.18,2.75,1.4,3,0
2023/2024,Bulgaria First League,2023-07-21,15:15:00,complete,CSKA Sofia,Levski Krumovgrad,1.25,5.5,10.5,1.63,1.94,2.3,1.53,1,0
2023/2024,Bulgaria First League,2023-07-22,13:15:00,complete,Botev Plovdiv,Levski Sofia,3.6,3.2,2.04,2.12,1.64,1.92,1.82,1,3
2023/2024,Bulgaria First League,2023-07-22,15:30:00,complete,Ludogorets,Etar,1.08,7.3,18.0,1.54,2.08,3.5,1.29,5,0
2023/2024,Bulgaria First League,2023-07-23,13:00:00,complete,Cherno More,Hebar 1918,1.8,3.5,3.79,1.9,1.8,1.91,1.8,1,0
