season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2023/2024,Egypt Egyptian Premier League,2023-09-18,13:00:00,complete,El Geish,National Bank of Egypt,2.63,2.55,2.88,2.6,1.48,2.0,1.73,2,0
2023/2024,Egypt Egyptian Premier League,2023-09-19,10:00:00,complete,Masr,Ismaily SC,2.55,2.7,2.9,3.1,1.36,2.38,1.53,1,0
2023/2024,Egypt Egyptian Premier League,2023-09-19,13:00:00,complete,Al Ahly,Al Masry,1.5,4.22,5.7,1.7,2.0,1.83,1.93,4,0
2023/2024,Egypt Egyptian Premier League,2023-09-20,10:00:00,complete,El Daklyeh FC,ENPPI,2.45,3.1,2.75,2.4,1.53,2.0,1.73,1,0
2023/2024,Egypt Egyptian Premier League,2023-09-20,13:00:00,complete,Al Mokawloon,Baladiyyat Al Mehalla,2.15,2.75,3.75,3.1,1.36,2.4,1.49,0,2
2023/2024,Egypt Egyptian Premier League,2023-09-20,13:00:00,complete,Smouha SC,El Gounah,2.45,2.8,2.88,2.4,1.53,1.93,1.73,1,1
2023/2024,Egypt Egyptian Premier League,2023-09-21,10:00:00,complete,Pharco,Coca-Cola,2.88,2.9,2.45,2.6,1.48,2.2,1.62,0,2
2023/2024,Egypt Egyptian Premier League,2023-09-21,13:00:00,complete,Al Ittihad,Ceramica Cleopatra,2.8,2.9,2.55,2.25,1.62,1.91,1.8,1,0
2023/2024,Egypt Egyptian Premier League,2023-09-21,13:00:00,complete,Pyramids FC,Zamalek,2.0,3.1,3.6,1.95,1.85,1.73,2.0,2,2
2023/2024,Egypt Egyptian Premier League,2023-09-25,10:00:00,complete,National Bank of Egypt,Pyramids FC,6.5,3.6,1.5,2.0,1.8,2.1,1.67,0,1
2023/2024,Egypt Egyptian Premier League,2023-09-25,13:00:00,complete,Zamalek,Al Mokawloon,1.6,3.6,5.25,2.1,1.7,2.1,1.67,1,1
2023/2024,Egypt Egyptian Premier League,2023-09-26,10:00:00,complete,Baladiyyat Al Mehalla,Smouha SC,2.38,3.0,2.88,2.5,1.5,2.2,1.62,0,2
2023/2024,Egypt Egyptian Premier League,2023-09-26,13:00:00,complete,Coca-Cola,El Daklyeh FC,1.73,3.3,4.2,2.15,1.67,2.1,1.67,2,1
2023/2024,Egypt Egyptian Premier League,2023-09-27,10:00:00,complete,ENPPI,El Geish,2.5,2.7,3.0,2.75,1.4,2.25,1.57,0,0
2023/2024,Egypt Egyptian Premier League,2023-09-27,13:00:00,complete,El Gounah,Masr,2.45,2.88,3.0,2.63,1.44,2.2,1.62,0,1
2023/2024,Egypt Egyptian Premier League,2023-09-28,10:00:00,complete,Al Masry,Pharco,1.95,2.9,4.0,2.5,1.5,2.2,1.62,1,0
