season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2023/2024,Morocco Botola Pro,2023-08-25,17:30:00,complete,Maghreb Fès,Moghreb Tétouan,2.25,2.9,3.1,2.7,1.44,2.25,1.57,2,1
2023/2024,Morocco Botola Pro,2023-08-26,13:00:00,complete,Olympic Safi,Hassania Agadir,1.95,3.0,3.8,2.7,1.44,2.38,1.53,1,1
2023/2024,Morocco Botola Pro,2023-08-26,15:15:00,complete,UTS Rabat,CR Khemis Zemamra,1.83,3.25,3.75,2.6,1.48,2.38,1.53,2,1
2023/2024,Morocco Botola Pro,2023-08-27,13:00:00,complete,Ittihad Tanger,Riadi Salmi,1.8,3.2,4.0,2.15,1.67,2.0,1.73,0,2
2023/2024,Morocco Botola Pro,2023-08-27,15:15:00,complete,Youssoufia Berrechid,Raja Casablanca,4.6,3.1,1.75,2.45,1.5,2.25,1.57,1,3
2023/2024,Morocco Botola Pro,2023-08-27,17:30:00,complete,RSB Berkane,Mouloudia Oujda,1.7,3.2,4.75,2.25,1.57,2.25,1.57,2,0
2023/2024,Morocco Botola Pro,2023-08-30,15:15:00,complete,FAR Rabat,Chabab Mohammedia,1.25,4.75,12.0,1.85,1.95,2.5,1.5,2,0
2023/2024,Morocco Botola Pro,2023-08-31,17:30:00,complete,Wydad Casablanca,FUS Rabat,2.2,2.8,3.75,3.2,1.33,2.63,1.44,0,2
2023/2024,Morocco Botola Pro,2023-09-01,17:30:00,complete,Riadi Salmi,Hassania Agadir,1.85,2.88,4.5,2.6,1.48,2.25,1.57,1,0
2023/2024,Morocco Botola Pro,2023-09-02,15:15:00,complete,CR Khemis Zemamra,Youssoufia Berrechid,2.1,2.88,3.5,2.55,1.45,2.2,1.62,1,0
2023/2024,Morocco Botola Pro,2023-09-02,16:30:00,complete,Moghreb Tétouan,Olympic Safi,2.63,2.75,2.7,2.6,1.48,2.2,1.62,0,0
2023/2024,Morocco Botola Pro,2023-09-02,16:30:00,complete,Mouloudia Oujda,UTS Rabat,2.7,2.7,2.75,2.35,1.57,1.83,1.83,1,3
2023/2024,Morocco Botola Pro,2023-09-03,13:00:00,complete,Raja Casablanca,FAR Rabat,2.5,3.0,2.75,2.7,1.44,2.25,1.57,2,2
2023/2024,Morocco Botola Pro,2023-09-03,15:15:00,complete,FUS Rabat,Maghreb Fès,1.96,3.2,3.9,2.5,1.5,2.38,1.53,0,0
2023/2024,Morocco Botola Pro,2023-09-03,15:15:00,complete,RSB Berkane,Ittihad Tanger,1.61,3.75,5.2,2.28,1.56,2.2,1.62,2,1
2023/2024,Morocco Botola Pro,2023-09-03,17:30:00,complete,Chabab Mohammedia,Wydad Casablanca,5.8,3.55,1.6,2.1,1.67,2.25,1.57,2,3
