season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2023,Norway First Division,2023-04-10,10:00:00,complete,Hødd,Raufoss,2.15,3.5,3.0,1.61,2.1,1.45,2.5,1,0
2023,Norway First Division,2023-04-10,10:00:00,complete,Jerv,Ranheim,2.09,3.21,2.64,1.54,2.22,1.42,2.6,1,2
2023,Norway First Division,2023-04-10,10:00:00,complete,KFUM,Sogndal,1.75,3.37,3.31,1.58,2.15,1.48,2.5,1,1
2023,Norway First Division,2023-04-10,10:00:00,complete,Bryne,Kongsvinger,2.39,3.15,2.31,1.61,2.05,1.64,2.17,2,1
2023,Norway First Division,2023-04-10,10:00:00,complete,Kristiansund,Fredrikstad,1.69,3.8,3.75,1.56,2.19,1.55,2.35,0,1
2023,Norway First Division,2023-04-10,10:00:00,complete,Mjøndalen,Åsane,1.7,3.46,3.42,1.54,2.23,1.53,2.38,0,0
2023,Norway First Division,2023-04-10,10:00:00,complete,Moss,Start,3.76,3.56,1.6,1.53,2.25,1.56,2.33,0,0
2023,Norway First Division,2023-04-10,10:00:00,complete,Sandnes Ulf,Skeid,1.52,3.8,4.0,1.53,2.25,1.49,2.48,4,1
2023,Norway First Division,2023-04-15,10:00:00,complete,Sogndal,Sandnes Ulf,2.05,3.7,2.97,1.49,2.44,1.48,2.5,1,0
2023,Norway First Division,2023-04-15,10:00:00,complete,Ranheim,Bryne,1.73,3.85,3.89,1.57,2.25,1.56,2.36,2,1
2023,Norway First Division,2023-04-16,10:00:00,complete,Åsane,Jerv,2.86,3.75,2.07,1.5,2.31,1.44,2.7,1,2
2023,Norway First Division,2023-04-16,10:00:00,complete,Skeid,Hødd,2.2,3.15,3.0,1.67,2.0,1.63,2.22,1,1
2023,Norway First Division,2023-04-16,10:00:00,complete,Start,Kristiansund,2.35,3.35,2.65,1.57,2.33,1.48,2.57,4,0
2023,Norway First Division,2023-04-16,10:00:00,complete,Kongsvinger,Mjøndalen,1.92,3.8,3.2,1.61,2.05,1.61,2.25,2,0
2023,Norway First Division,2023-04-16,10:00:00,complete,Fredrikstad,Moss,1.47,4.3,5.25,1.51,2.29,1.53,2.38,1,1
2023,Norway First Division,2023-04-16,10:00:00,complete,Raufoss,KFUM,2.68,3.75,2.17,1.53,2.25,1.5,2.51,4,0
