season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2024/2025,Spain Segunda División,2024-08-15,15:30:00,complete,Granada CF,Albacete Balompié,1.79,3.17,3.92,2.2,1.55,2.0,1.73,1,2
2024/2025,Spain Segunda División,2024-08-16,14:00:00,complete,Mirandés,Córdoba,2.4,3.1,2.9,2.38,1.52,2.0,1.73,1,0
2024/2025,Spain Segunda División,2024-08-16,16:30:00,complete,Cádiz,Real Zaragoza,1.8,3.25,4.5,2.5,1.47,2.25,1.57,0,4
2024/2025,Spain Segunda División,2024-08-17,12:00:00,complete,Racing Club de Ferrol,Málaga CF,1.85,3.0,4.0,2.37,1.48,2.1,1.67,2,2
2024/2025,Spain Segunda División,2024-08-17,12:00:00,complete,SD Eibar,CD Castellón,1.6,3.4,5.25,2.05,1.61,2.0,1.73,1,0
2024/2025,Spain Segunda División,2024-08-17,14:00:00,complete,Deportivo La Coruña,Real Oviedo,2.6,2.95,2.75,2.38,1.52,2.0,1.73,0,1
2024/2025,Spain Segunda División,2024-08-18,12:00:00,complete,Sporting Gijón,Levante UD,1.9,2.98,3.73,2.4,1.53,2.25,1.57,1,2
2024/2025,Spain Segunda División,2024-08-18,12:00:00,complete,Racing Santander,Almería,2.09,3.07,3.07,2.1,1.7,1.83,1.83,2,2
2024/2025,Spain Segunda División,2024-08-18,14:30:00,complete,Burgos CF,FC Cartagena,1.86,2.98,3.92,2.4,1.53,2.2,1.62,3,1
2024/2025,Spain Segunda División,2024-08-18,14:30:00,complete,Elche CF,SD Huesca,1.99,2.89,3.55,2.5,1.5,2.38,1.53,0,1
2024/2025,Spain Segunda División,2024-08-19,15:30:00,complete,CD Eldense,CD Tenerife,2.39,3.05,3.3,2.35,1.52,2.2,1.62,2,1
2024/2025,Spain Segunda División,2024-08-23,14:00:00,complete,Racing Santander,SD Eibar,2.11,3.42,3.1,1.8,1.9,1.75,1.93,2,2
2024/2025,Spain Segunda División,2024-08-23,16:30:00,complete,SD Huesca,Deportivo La Coruña,2.11,2.94,3.62,2.81,1.38,2.25,1.57,2,1
2024/2025,Spain Segunda División,2024-08-24,12:00:00,complete,Sporting Gijón,CD Eldense,1.75,3.51,4.74,2.05,1.67,2.1,1.67,0,0
2024/2025,Spain Segunda División,2024-08-24,12:00:00,complete,Racing Club de Ferrol,Granada CF,2.57,3.08,2.89,2.13,1.61,1.91,1.8,0,1
2024/2025,Spain Segunda División,2024-08-24,14:00:00,complete,Levante UD,Cádiz,2.1,3.2,3.66,2.25,1.62,2.0,1.73,1,1
