season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2023,Sweden Superettan,2023-04-01,10:00:00,complete,Brage,Västerås SK,2.4,3.35,2.75,1.65,2.1,1.62,2.2,1,2
2023,Sweden Superettan,2023-04-01,10:00:00,complete,GIF Sundsvall,Landskrona,2.31,3.45,2.8,1.65,2.1,1.62,2.2,2,0
2023,Sweden Superettan,2023-04-02,08:00:00,complete,Trelleborg,Gefle,1.93,3.5,3.75,1.87,1.95,1.67,2.1,0,1
2023,Sweden Superettan,2023-04-02,08:00:00,complete,Utsikten,Skövde AIK,2.19,3.55,2.93,1.75,1.96,1.62,2.2,1,0
2023,Sweden Superettan,2023-04-02,10:00:00,complete,Östersunds FK,GAIS,2.19,3.55,2.93,1.83,2.05,1.62,2.2,1,1
2023,Sweden Superettan,2023-04-03,14:00:00,complete,Örgryte,AFC Eskilstuna,2.0,3.45,3.55,1.67,2.2,1.57,2.25,2,2
2023,Sweden Superettan,2023-04-03,14:00:00,complete,Jönköpings Södra,Örebro,2.43,3.35,2.75,1.81,2.0,1.67,2.1,0,0
2023,Sweden Superettan,2023-04-04,14:00:00,complete,Helsingborg,Öster,1.91,3.25,3.4,1.8,1.95,1.7,2.05,0,1
2023,Sweden Superettan,2023-04-07,10:00:00,complete,GAIS,Brage,1.86,3.4,3.85,1.75,1.89,1.69,2.11,3,0
2023,Sweden Superettan,2023-04-09,08:00:00,complete,Landskrona,Utsikten,6.01,4.71,1.37,1.8,2.0,1.68,2.15,1,3
2023,Sweden Superettan,2023-04-09,12:00:00,complete,Skövde AIK,Jönköpings Södra,2.1,3.4,3.3,1.75,1.87,1.61,2.17,3,3
2023,Sweden Superettan,2023-04-09,12:00:00,complete,Örebro,Östersunds FK,1.78,3.64,4.26,1.85,1.95,1.8,1.9,0,0
2023,Sweden Superettan,2023-04-10,08:00:00,complete,Gefle,Helsingborg,3.1,3.2,2.2,1.96,1.77,1.8,1.95,1,0
2023,Sweden Superettan,2023-04-10,10:00:00,complete,Västerås SK,Örgryte,1.82,3.25,3.66,1.85,2.0,1.65,2.11,0,0
2023,Sweden Superettan,2023-04-10,10:00:00,complete,Öster,Trelleborg,1.78,3.25,3.85,1.75,1.85,1.65,2.1,5,2
2023,Sweden Superettan,2023-04-10,12:00:00,complete,AFC Eskilstuna,GIF Sundsvall,2.23,3.4,3.0,1.64,2.25,1.62,2.2,0,1
2023,Sweden Superettan,2023-04-15,08:00:00,complete,Helsingborg,Västerås SK,2.5,3.35,2.52,1.85,1.85,1.7,2.05,0,1
2023,Sweden Superettan,2023-04-15,08:00:00,complete,Öster,AFC Eskilstuna,1.6,3.9,4.68,1.75,1.96,1.8,2.05,3,0
2023,Sweden Superettan,2023-04-15,10:00:00,complete,Landskrona,Skövde AIK,2.12,3.45,3.0,1.85,1.85,1.67,2.1,2,0
2023,Sweden Superettan,2023-04-15,12:00:00,complete,Örebro,Brage,1.95,3.5,3.37,1.88,1.82,1.73,2.0,0,2
2023,Sweden Superettan,2023-04-16,10:00:00,complete,Utsikten,GAIS,2.3,3.6,2.74,1.86,2.0,1.62,2.2,1,2
2023,Sweden Superettan,2023-04-17,14:00:00,complete,Jönköpings Södra,Gefle,2.15,3.3,3.2,2.15,1.68,1.83,1.9,2,1
2023,Sweden Superettan,2023-04-17,14:00:00,complete,Trelleborg,Örgryte,2.15,3.4,3.2,1.8,2.0,1.62,2.2,2,0
2023,Sweden Superettan,2023-04-18,14:00:00,complete,GIF Sundsvall,Östersunds FK,1.91,3.4,3.5,1.73,1.91,1.67,2.1,0,3
2023,Sweden Superettan,2023-04-22,08:00:00,complete,AFC Eskilstuna,Trelleborg,2.55,2.95,2.65,1.75,1.95,1.7,2.1,1,0
2023,Sweden Superettan,2023-04-22,10:00:00,complete,GAIS,Landskrona,1.63,3.65,4.7,1.75,1.95,1.8,2.0,2,0
2023,Sweden Superettan,2023-04-22,10:00:00,complete,Brage,Helsingborg,2.35,3.1,2.8,1.85,1.85,1.68,2.1,1,0
2023,Sweden Superettan,2023-04-23,10:00:00,complete,Gefle,Utsikten,2.2,3.3,2.8,1.95,1.75,1.8,1.95,1,1
2023,Sweden Superettan,2023-04-24,08:00:00,complete,GIF Sundsvall,Öster,2.7,3.3,2.25,1.75,1.95,1.68,2.1,2,3
2023,Sweden Superettan,2023-04-24,14:00:00,complete,Örgryte,Jönköpings Södra,2.23,3.5,2.91,1.93,1.95,1.7,2.05,2,2
2023,Sweden Superettan,2023-04-24,14:00:00,complete,Östersunds FK,Skövde AIK,2.3,3.4,2.84,2.05,1.77,1.75,2.0,2,1
2023,Sweden Superettan,2023-04-25,14:00:00,complete,Västerås SK,Örebro,1.92,3.21,3.36,1.8,1.8,1.8,1.95,3,0
2023,Sweden Superettan,2023-04-29,08:00:00,complete,Öster,Östersunds FK,1.44,4.2,6.0,1.8,2.0,1.95,1.83,0,1
2023,Sweden Superettan,2023-04-29,10:00:00,complete,Landskrona,Gefle,2.0,3.25,3.5,2.0,1.8,1.8,1.95,1,0
2023,Sweden Superettan,2023-04-29,10:00:00,complete,Jönköpings Södra,Västerås SK,2.6,3.25,2.5,1.85,2.0,1.68,2.15,2,1
2023,Sweden Superettan,2023-04-30,08:00:00,complete,Skövde AIK,Brage,2.23,3.35,3.05,1.96,1.85,1.73,1.99,0,0
2023,Sweden Superettan,2023-04-30,10:00:00,complete,Örebro,AFC Eskilstuna,2.0,3.5,3.5,1.85,1.95,1.73,2.0,3,0
2023,Sweden Superettan,2023-05-01,10:00:00,complete,Trelleborg,GIF Sundsvall,2.05,3.52,3.34,1.88,1.93,1.74,2.04,3,4
2023,Sweden Superettan,2023-05-01,10:00:00,complete,Utsikten,Örgryte,2.28,3.48,2.91,1.79,2.02,1.55,2.25,2,1
2023,Sweden Superettan,2023-05-02,14:00:00,complete,Helsingborg,GAIS,2.37,3.18,2.53,1.88,1.73,1.8,1.95,2,1
2023,Sweden Superettan,2023-05-05,14:00:00,complete,AFC Eskilstuna,Utsikten,2.6,3.3,2.63,1.85,1.95,1.63,2.2,1,1
2023,Sweden Superettan,2023-05-06,10:00:00,complete,Östersunds FK,Jönköpings Södra,2.17,3.16,2.83,1.88,1.73,1.78,1.95,3,3
2023,Sweden Superettan,2023-05-06,10:00:00,complete,Gefle,Västerås SK,2.65,3.21,2.27,1.79,1.81,1.7,2.1,0,3
2023,Sweden Superettan,2023-05-07,08:00:00,complete,Skövde AIK,Örebro,2.75,3.05,2.35,2.1,1.65,1.73,2.0,1,2
2023,Sweden Superettan,2023-05-07,10:00:00,complete,GAIS,Trelleborg,1.95,3.35,3.25,1.85,1.85,1.83,1.95,2,1
2023,Sweden Superettan,2023-05-08,14:00:00,complete,Brage,GIF Sundsvall,1.91,3.5,3.8,1.96,1.92,1.75,2.0,2,0
2023,Sweden Superettan,2023-05-08,14:00:00,complete,Örgryte,Öster,2.9,3.4,2.25,1.85,2.03,1.7,2.05,2,2
2023,Sweden Superettan,2023-05-09,14:00:00,complete,Landskrona,Helsingborg,2.2,3.3,2.9,2.03,1.83,1.75,2.0,2,1
2023,Sweden Superettan,2023-05-12,14:00:00,complete,Jönköpings Södra,AFC Eskilstuna,1.93,3.45,3.65,1.73,2.0,1.8,1.91,2,3
2023,Sweden Superettan,2023-05-13,10:00:00,complete,Öster,GAIS,2.1,3.4,3.3,1.94,1.94,1.73,2.0,1,2
2023,Sweden Superettan,2023-05-13,10:00:00,complete,Västerås SK,Landskrona,1.75,3.7,4.33,1.85,2.03,1.75,1.96,0,0
2023,Sweden Superettan,2023-05-14,08:00:00,complete,Utsikten,Brage,2.06,3.46,3.38,1.94,1.94,1.75,2.0,4,1
2023,Sweden Superettan,2023-05-14,10:00:00,complete,Gefle,Skövde AIK,2.31,3.32,2.98,2.08,1.8,1.8,1.95,4,1
2023,Sweden Superettan,2023-05-15,14:00:00,complete,Trelleborg,Östersunds FK,2.6,3.4,2.55,1.91,1.9,1.67,2.1,1,0
2023,Sweden Superettan,2023-05-15,14:00:00,complete,GIF Sundsvall,Helsingborg,2.5,3.3,2.7,1.93,1.9,1.7,2.05,1,1
2023,Sweden Superettan,2023-05-16,14:00:00,complete,Örebro,Örgryte,2.0,3.2,3.3,1.91,1.8,1.8,1.95,0,0
2023,Sweden Superettan,2023-05-19,14:00:00,complete,Brage,Gefle,1.58,4.04,5.25,1.75,1.95,1.8,1.91,1,1
2023,Sweden Superettan,2023-05-20,08:00:00,complete,Landskrona,Örebro,2.2,3.15,2.85,1.95,1.75,1.8,1.91,3,2
2023,Sweden Superettan,2023-05-20,10:00:00,complete,GAIS,Jönköpings Södra,1.57,3.65,4.75,1.8,1.9,1.73,2.0,0,1
2023,Sweden Superettan,2023-05-20,10:00:00,complete,Skövde AIK,Trelleborg,2.5,3.15,2.5,1.95,1.75,1.73,2.0,2,3
2023,Sweden Superettan,2023-05-21,08:00:00,complete,AFC Eskilstuna,Östersunds FK,2.8,3.4,2.4,1.95,1.87,1.61,2.17,1,1
2023,Sweden Superettan,2023-05-21,10:00:00,complete,Helsingborg,Utsikten,2.2,3.3,3.2,2.0,1.83,1.76,1.95,0,1
2023,Sweden Superettan,2023-05-22,14:00:00,complete,Västerås SK,Öster,2.24,3.21,2.68,1.73,1.88,1.67,2.1,2,1
2023,Sweden Superettan,2023-05-23,14:00:00,complete,Örgryte,GIF Sundsvall,1.77,3.65,3.91,1.7,2.03,1.67,2.1,1,0
2023,Sweden Superettan,2023-05-26,14:00:00,complete,AFC Eskilstuna,GAIS,3.6,3.4,1.95,1.8,1.9,1.72,2.1,0,0
2023,Sweden Superettan,2023-05-26,14:00:00,complete,Öster,Landskrona,1.6,4.0,5.0,1.71,2.02,1.78,2.0,2,1
2023,Sweden Superettan,2023-05-27,08:00:00,complete,Jönköpings Södra,Brage,2.3,3.25,2.9,1.85,2.0,1.65,2.1,4,1
2023,Sweden Superettan,2023-05-27,10:00:00,complete,Örgryte,Gefle,1.85,3.5,4.2,1.9,1.95,1.8,1.95,3,1
2023,Sweden Superettan,2023-05-27,10:00:00,complete,Trelleborg,Västerås SK,3.0,3.4,2.2,1.8,2.0,1.65,2.2,3,2
2023,Sweden Superettan,2023-05-27,10:00:00,complete,GIF Sundsvall,Skövde AIK,1.85,3.6,4.0,1.88,1.98,1.8,2.0,2,0
2023,Sweden Superettan,2023-05-28,08:00:00,complete,Östersunds FK,Utsikten,2.05,3.3,3.1,1.88,1.85,1.73,2.0,1,2
2023,Sweden Superettan,2023-05-28,10:00:00,complete,Örebro,Helsingborg,2.08,3.35,3.35,2.0,1.81,1.83,1.95,1,1
2023,Sweden Superettan,2023-05-31,14:00:00,complete,Utsikten,Örebro,2.24,3.15,2.96,1.93,1.95,1.8,1.91,2,1
2023,Sweden Superettan,2023-05-31,14:00:00,complete,Brage,Östersunds FK,2.32,3.15,2.87,1.93,1.95,1.7,2.05,2,1
