season,league,date,time,status,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over25,odds_ft_under25,odds_btts_yes,odds_btts_no,homeGoalCount,awayGoalCount
2023,Uruguay Primera División,2023-02-04,09:45:00,complete,Racing,Boston River,3.1,3.0,2.3,2.2,1.53,1.91,1.8,0,2
2023,Uruguay Primera División,2023-02-04,17:00:00,complete,Peñarol,Cerro,1.32,4.9,9.05,1.97,1.82,2.2,1.62,2,0
2023,Uruguay Primera División,2023-02-04,19:30:00,complete,Cerro Largo,River Plate,3.28,3.09,2.31,2.45,1.52,2.0,1.73,2,1
2023,Uruguay Primera División,2023-02-05,09:45:00,complete,La Luz,Wanderers,2.4,3.1,2.63,2.3,1.5,1.98,1.73,1,3
2023,Uruguay Primera División,2023-02-05,18:00:00,complete,Torque,Danubio,2.88,2.75,2.6,2.3,1.6,1.98,1.72,1,1
2023,Uruguay Primera División,2023-02-05,21:00:00,complete,Nacional,Liverpool FC Montevideo,1.57,3.65,5.58,1.95,1.76,1.93,1.77,2,1
2023,Uruguay Primera División,2023-02-06,19:00:00,complete,Plaza Colonia,Deportivo Maldonado,3.08,2.7,2.35,2.5,1.47,2.2,1.58,0,1
2023,Uruguay Primera División,2023-02-06,21:30:00,complete,Defensor Sporting,Fénix,1.89,3.2,3.6,2.3,1.53,2.05,1.68,1,3
2023,Uruguay Primera División,2023-02-10,20:00:00,complete,Nacional,Cerro Largo,1.37,4.46,8.6,2.0,1.76,2.3,1.53,0,0
2023,Uruguay Primera División,2023-02-11,09:45:00,complete,Fénix,Torque,2.35,2.9,2.8,2.2,1.6,2.1,1.63,1,2
2023,Uruguay Primera División,2023-02-11,17:00:00,complete,River Plate,Plaza Colonia,1.57,2.95,4.71,2.48,1.5,2.05,1.68,2,0
2023,Uruguay Primera División,2023-02-11,19:30:00,complete,Deportivo Maldonado,Racing,1.85,3.3,4.06,2.29,1.55,2.16,1.66,1,1
2023,Uruguay Primera División,2023-02-12,09:45:00,complete,Boston River,Cerro,1.85,3.35,3.98,2.06,1.68,1.98,1.78,0,3
2023,Uruguay Primera División,2023-02-12,17:00:00,complete,Danubio,Liverpool FC Montevideo,2.78,3.1,2.45,2.25,1.57,1.91,1.8,1,1
2023,Uruguay Primera División,2023-02-13,18:30:00,complete,Wanderers,Defensor Sporting,2.63,3.25,2.3,2.06,1.72,1.85,1.85,1,1
2023,Uruguay Primera División,2023-02-13,21:00:00,complete,La Luz,Peñarol,2.97,3.2,2.13,1.95,1.7,2.15,1.66,3,4
2023,Uruguay Primera División,2023-02-17,21:00:00,complete,Cerro Largo,Danubio,2.75,2.98,2.69,2.65,1.42,2.1,1.65,1,0
2023,Uruguay Primera División,2023-02-18,17:00:00,complete,Cerro,Deportivo Maldonado,3.5,2.8,2.15,2.15,1.65,1.91,1.8,0,0
2023,Uruguay Primera División,2023-02-18,19:45:00,complete,Plaza Colonia,Nacional,7.5,3.8,1.4,1.86,1.68,2.15,1.6,2,1
2023,Uruguay Primera División,2023-02-19,09:45:00,complete,Racing,River Plate,3.46,3.28,2.09,2.1,1.61,1.85,1.85,0,0
2023,Uruguay Primera División,2023-02-19,18:00:00,complete,Defensor Sporting,La Luz,1.75,3.55,4.22,1.98,1.74,1.93,1.75,1,0
2023,Uruguay Primera División,2023-02-19,21:00:00,complete,Peñarol,Boston River,1.55,3.75,5.61,2.03,1.7,2.04,1.69,1,0
2023,Uruguay Primera División,2023-02-20,17:00:00,complete,Liverpool FC Montevideo,Fénix,1.57,3.82,4.75,1.77,1.94,1.9,1.78,3,1
2023,Uruguay Primera División,2023-02-20,20:15:00,complete,Torque,Wanderers,2.4,3.15,2.66,2.18,1.61,1.93,1.77,0,1
2023,Uruguay Primera División,2023-02-25,09:45:00,complete,River Plate,Cerro,1.77,3.6,3.9,2.15,1.67,1.8,1.91,3,2
2023,Uruguay Primera División,2023-02-25,17:00:00,complete,Fénix,Cerro Largo,2.0,3.4,3.2,2.28,1.58,1.8,1.91,0,0
2023,Uruguay Primera División,2023-02-25,20:00:00,complete,Defensor Sporting,Peñarol,3.75,3.3,1.85,2.0,1.75,1.63,2.1,2,2
2023,Uruguay Primera División,2023-02-26,09:45:00,complete,Danubio,Plaza Colonia,1.92,3.2,3.95,2.62,1.43,2.38,1.53,5,0
2023,Uruguay Primera División,2023-02-26,17:00:00,complete,Deportivo Maldonado,Boston River,2.27,3.1,2.85,1.91,1.65,1.93,1.75,3,2
2023,Uruguay Primera División,2023-02-26,20:00:00,complete,Nacional,Racing,1.3,4.4,8.1,2.0,1.8,2.55,1.44,3,1
2023,Uruguay Primera División,2023-02-27,18:30:00,complete,La Luz,Torque,2.08,2.99,2.67,1.9,1.82,1.75,1.95,1,1
2023,Uruguay Primera División,2023-02-27,21:00:00,complete,Wanderers,Liverpool FC Montevideo,2.4,2.95,2.3,2.23,1.62,1.9,1.78,1,1
2023,Uruguay Primera División,2023-03-03,20:00:00,complete,Racing,Danubio,3.25,2.9,2.15,2.25,1.53,1.93,1.75,1,1
2023,Uruguay Primera División,2023-03-04,09:45:00,complete,Torque,Defensor Sporting,2.85,3.0,2.35,2.01,1.63,1.8,1.83,0,3
2023,Uruguay Primera División,2023-03-04,17:00:00,complete,Cerro,Nacional,5.57,3.78,1.66,1.96,1.82,1.98,1.73,2,2
2023,Uruguay Primera División,2023-03-04,19:30:00,complete,Boston River,River Plate,3.44,3.03,2.27,2.28,1.6,2.0,1.73,0,0
2023,Uruguay Primera División,2023-03-05,09:45:00,complete,Liverpool FC Montevideo,La Luz,1.42,4.09,5.84,1.84,1.84,2.05,1.66,2,3
2023,Uruguay Primera División,2023-03-05,17:00:00,complete,Peñarol,Deportivo Maldonado,1.74,3.5,4.5,2.23,1.58,2.06,1.73,2,1
2023,Uruguay Primera División,2023-03-05,19:30:00,complete,Cerro Largo,Wanderers,1.92,3.3,3.9,2.23,1.58,2.07,1.72,0,0
2023,Uruguay Primera División,2023-03-06,19:30:00,complete,Plaza Colonia,Fénix,2.02,3.06,3.35,2.03,1.59,1.91,1.85,3,1
2023,Uruguay Primera División,2023-03-10,19:30:00,complete,La Luz,Cerro Largo,3.35,3.07,2.38,2.65,1.42,2.25,1.57,0,3
2023,Uruguay Primera División,2023-03-11,17:00:00,complete,Wanderers,Plaza Colonia,1.82,2.99,3.49,2.36,1.52,2.2,1.62,0,1
2023,Uruguay Primera División,2023-03-11,19:30:00,complete,Nacional,Boston River,1.44,3.43,5.41,1.94,1.81,2.38,1.53,3,1
2023,Uruguay Primera División,2023-03-12,09:45:00,complete,Danubio,Cerro,1.89,3.15,3.65,2.3,1.58,2.0,1.73,1,0
2023,Uruguay Primera División,2023-03-12,17:00:00,complete,Fénix,Racing,1.88,3.25,4.0,2.3,1.58,2.2,1.62,0,1
2023,Uruguay Primera División,2023-03-12,20:00:00,complete,Peñarol,Torque,1.49,4.0,6.1,1.98,1.78,2.1,1.67,2,2
2023,Uruguay Primera División,2023-03-13,17:00:00,complete,River Plate,Deportivo Maldonado,2.2,3.1,3.3,2.35,1.55,2.0,1.73,3,1
2023,Uruguay Primera División,2023-03-13,19:30:00,complete,Defensor Sporting,Liverpool FC Montevideo,2.45,3.3,2.7,2.05,1.72,1.73,2.0,2,2
2023,Uruguay Primera División,2023-03-17,19:15:00,complete,Plaza Colonia,La Luz,1.67,3.4,4.75,2.0,1.75,1.93,1.77,1,1
2023,Uruguay Primera División,2023-03-18,09:45:00,complete,Liverpool FC Montevideo,Torque,2.0,3.2,3.4,1.92,1.82,1.77,1.93,1,0
2023,Uruguay Primera División,2023-03-18,17:00:00,complete,Deportivo Maldonado,Nacional,4.75,3.5,1.7,2.05,1.75,1.95,1.73,0,0
2023,Uruguay Primera División,2023-03-18,19:30:00,complete,Peñarol,River Plate,1.69,2.98,3.8,2.08,1.71,1.93,1.77,1,0
2023,Uruguay Primera División,2023-03-19,09:45:00,complete,Cerro Largo,Defensor Sporting,2.23,2.97,3.07,2.16,1.62,1.93,1.77,0,3
2023,Uruguay Primera División,2023-03-19,16:30:00,complete,Boston River,Danubio,2.65,3.1,2.5,2.35,1.53,2.02,1.76,3,3
2023,Uruguay Primera División,2023-03-19,20:30:00,complete,Racing,Wanderers,3.1,3.3,2.1,2.25,1.57,1.93,1.77,1,1
2023,Uruguay Primera División,2023-03-20,19:15:00,complete,Cerro,Fénix,2.64,3.2,2.33,2.18,1.65,1.83,1.85,2,0
2023,Uruguay Primera División,2023-03-24,21:15:00,complete,Defensor Sporting,Plaza Colonia,1.7,3.4,5.0,2.25,1.62,2.1,1.67,4,0
2023,Uruguay Primera División,2023-03-25,10:00:00,complete,Danubio,Deportivo Maldonado,2.25,2.95,3.15,2.35,1.42,2.2,1.62,4,0
2023,Uruguay Primera División,2023-03-25,16:00:00,complete,Liverpool FC Montevideo,Peñarol,3.05,3.15,2.12,2.1,1.6,2.0,1.73,1,0
2023,Uruguay Primera División,2023-03-25,18:15:00,complete,Wanderers,Cerro,2.1,3.0,3.5,2.1,1.6,2.0,1.73,3,0
2023,Uruguay Primera División,2023-03-26,10:00:00,complete,Fénix,Boston River,2.6,3.15,2.75,2.0,1.7,1.91,1.8,0,0
2023,Uruguay Primera División,2023-03-26,18:00:00,complete,Nacional,River Plate,1.6,3.9,5.25,1.9,1.8,1.91,1.8,3,0
2023,Uruguay Primera División,2023-03-26,20:30:00,complete,La Luz,Racing,2.6,3.05,2.75,2.2,1.6,1.83,1.83,1,3
2023,Uruguay Primera División,2023-03-27,19:00:00,complete,Torque,Cerro Largo,2.1,3.25,3.27,2.11,1.65,1.91,1.8,1,2
2023,Uruguay Primera División,2023-03-31,16:00:00,complete,River Plate,Danubio,2.05,3.3,3.4,1.93,1.93,1.71,2.0,2,1
2023,Uruguay Primera División,2023-03-31,19:00:00,complete,Cerro Largo,Liverpool FC Montevideo,2.95,3.04,2.49,2.17,1.65,1.73,2.0,1,0
2023,Uruguay Primera División,2023-04-01,16:00:00,complete,Peñarol,Nacional,2.34,3.3,2.85,2.0,1.8,1.73,2.0,2,0
2023,Uruguay Primera División,2023-04-01,19:00:00,complete,Deportivo Maldonado,Fénix,2.04,3.25,3.6,2.1,1.65,1.95,1.75,2,0
2023,Uruguay Primera División,2023-04-02,10:00:00,complete,Cerro,La Luz,2.2,3.2,3.1,2.1,1.7,1.8,1.91,0,0
2023,Uruguay Primera División,2023-04-02,16:00:00,complete,Boston River,Wanderers,2.26,3.3,2.95,2.01,1.79,1.75,1.93,0,1
2023,Uruguay Primera División,2023-04-03,16:00:00,complete,Racing,Defensor Sporting,3.5,3.1,2.0,2.0,1.67,1.91,1.8,0,1
2023,Uruguay Primera División,2023-04-03,19:00:00,complete,Plaza Colonia,Torque,3.0,3.0,2.2,2.05,1.61,1.82,1.88,1,2
2023,Uruguay Primera División,2023-04-07,19:00:00,complete,Wanderers,Deportivo Maldonado,2.37,2.9,2.8,2.25,1.57,1.9,1.8,0,1
2023,Uruguay Primera División,2023-04-08,10:00:00,complete,Fénix,River Plate,2.62,2.9,2.5,2.15,1.61,1.8,1.91,0,0
2023,Uruguay Primera División,2023-04-08,16:00:00,complete,Defensor Sporting,Cerro,1.67,3.5,5.0,2.1,1.7,2.05,1.7,1,1
2023,Uruguay Primera División,2023-04-08,18:30:00,complete,Torque,Racing,2.18,3.25,3.24,2.15,1.61,1.83,1.9,0,2
2023,Uruguay Primera División,2023-04-09,15:30:00,complete,Danubio,Nacional,3.21,3.51,2.23,2.2,1.61,1.9,1.8,0,0
2023,Uruguay Primera División,2023-04-09,18:00:00,complete,Cerro Largo,Peñarol,2.89,3.26,2.39,2.04,1.73,1.83,1.85,0,0
2023,Uruguay Primera División,2023-04-10,15:30:00,complete,Liverpool FC Montevideo,Plaza Colonia,1.65,3.6,5.0,2.03,1.7,2.03,1.7,3,1
